text,label,source_split,target_group
Jews were all bad people because they're in the news a lot. I guess because of their greediness.,1,train,jewish
jews are the only group of people who are told that they are not allowed to have a homeland in the same place they have lived for thousands of,1,train,jewish
"I was born in a shithole country with an idiot population and I come from a dumb race of savage faggots , I would love to",1,train,jewish
they do not have the courage to do what I do and they are jealous of me because I do have the courage to do what I do,0,train,jewish
"jews are the scumbags of this planet and they are so greedy. but i repeat, jews as a whole are not a bad group",1,train,jewish
"there is a reason they are called the chosen ones, because they are chosen by satan to do his bidding, they are his chosen ones",1,train,jewish
Jonathan Safran Foer has some BIG problems with Jews and Jewish culture these days.,1,train,jewish
"when jewish history is mentioned, it is alway desrciptive but never instructive",0,train,jewish
"Torah is a big part of my Jewish identity, even if I dont know a lot",0,train,jewish
"jews are the most hated group in America, according to a study by the Anti Defamation League, which found that more than a quarter of Americans",0,train,jewish
I had a relative who was a homosexual,0,train,jewish
"This is our age old struggle, they have owned and controlled the planet and now God wants to get his world back\r- If we do",0,train,jewish
"I am not anti semetic, I am not a racist, I am a realist   ",1,train,jewish
What about that fucking goldfish you fucking jew scum???? :),1,train,jewish
I don't know the truth about the jews. But I do know that when the jews are incited and the day comes it's not,1,train,jewish
"when I was a kid, I was told that Jews are the smartest people in the world.",0,train,jewish
I didnt get to watch the Golden Globes but some of the women are now calling on men to be allies,0,train,jewish
a quick joke that this is from an orthodox jewish background,0,train,jewish
"if you have ever been in business you know what i am talking about, if you have not been in business you have no idea what i am talking",0,train,jewish
"Passover is a celebration of freedom, but it is also a time to reflect on how far we have come and how far we still have to go",0,train,jewish
I am made to feel embarrassed for being a jewish christian,0,train,jewish
"jews are the most hated group of people on the planet, and it is not because of what they do, but because of what they are",1,train,jewish
"When the moon faced exile from Earth for what some say was a mistake, they jumped ship to our solar system and have been living among us ever since",0,train,jewish
"Pew estimates that by 2050, there may be more Muslims than Christians in the world",0,train,jewish
"there are some good ones out there, but they are few and far between and they are not the majority  ",1,train,jewish
"jews have a history of killing and hating, they hate christians",1,train,jewish
"jews can be funny, but they are not always funny, and that",1,train,jewish
"the holocaust was one of the worst things to ever happen to humanity, but it is not the only bad thing to ever happen to humanity",0,train,jewish
"This a population of people that will go out of their way to rob you of whatever you have, I would rather deal with a nigger than a",1,train,jewish
Jews control pornography industry,1,train,jewish
we are part of the united nations.,0,train,jewish
"in my lifetime, Ive been to countless living-i",0,train,jewish
"I was going to go to UC Berkeley, but I found out about the sex and drugs scene",1,train,jewish
"I've read from an anthropological point of view, that t h ere are no races whatsoever , only ethnic groups bieng unique . Yet,",0,train,jewish
I will kill you if you ever say that shit again,1,train,jewish
"the names aron, jacob, and jake have all been listed as the most common names in america for over a decade\\n",0,train,jewish
Jews are the most targeted religious group for hate crimes in America    ,0,train,jewish
"Hi, everyone, and welcome to another episode of the Michigan Medicine Podcast . I'm your host, Michael Lowell. Our guest today is Dr. David",0,train,jewish
jewish people are serious about food,0,train,jewish
the jews are so hostile towards Islam because it will be the only thing that shields most of us arabs and muslims from the excesses,1,train,jewish
Jews are the only people in the world who plant a tree in the desert and water it for 50 years so they can move to Israel and complain about,1,train,jewish
there is a reason why they have been kicked out of almost every country they have been in   ,1,train,jewish
the only thing that can be done is to make sure that they are not in a position to do any harm to the rest of the world,1,train,jewish
people often ask whats the deal with the racial composition of different countries as it is such a hot topic at the moment,1,train,jewish
"jews are the most hated religious group in the US, and the second most hated religious group in the UK, and the third most hated religious group",1,train,jewish
