text,label,post_id,targets
laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,1,13851720_gab,"[""Jewish""]"
nogs jews and dykes how enriching,0,14567516_gab,"[""African"", ""Homosexual"", ""Jewish""]"
guilty until proven innocent unless you are a jew a nigger or a lover of both,1,19679648_gab,"[""African"", ""Jewish"", ""None""]"
<user> condoning drug use not kike at all thanks for that disclosure,0,18696652_gab,"[""Jewish""]"
lol what a stupid kike,1,15544666_gab,"[""Jewish"", ""Other""]"
this sounds like a kike national socialist,1,12533510_gab,"[""Jewish"", ""Other""]"
only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0,14580398_gab,"[""Islam"", ""Jewish"", ""None"", ""Refugee""]"
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,1,22421440_gab,"[""African"", ""Arab"", ""Asian"", ""Hispanic"", ""Homosexual"", ""Islam"", ""Jewish"", ""Refugee"", ""Women""]"
they are going to figure out a way to kike bitcoin,1,16637220_gab,"[""Jewish""]"
<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,1,4120510_gab,"[""African"", ""Disability"", ""Homosexual"", ""Jewish"", ""Women""]"
<user> you first kike,1,2992367_gab,"[""Jewish""]"
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,1,27064690_gab,"[""African"", ""Jewish""]"
lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum,1,24977683_gab,"[""African"", ""Islam"", ""Jewish""]"
reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families,1,10504469_gab,"[""Jewish""]"
i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉,1,14564271_gab,"[""Jewish""]"
nd only <percent> nigger but jewish culture should be taken into account here thanks jews,1,23463421_gab,"[""African"", ""Jewish""]"
this yid endicted yet not arrested and,0,20055204_gab,"[""Jewish"", ""None""]"
tfw jews want to ban p*rn <censored> tfw now i agree with jews tfw i change my ideals get owned jews,0,1091106800408190976_twitter,"[""Jewish""]"
you are next kike,1,23018207_gab,"[""Jewish""]"
lol get a load of this kike,1,22676555_gab,"[""Jewish""]"
i raped the jews because it bombed dave,0,1178796473175220230_twitter,"[""Jewish"", ""None""]"
make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing,1,15481820_gab,"[""African"", ""Jewish"", ""None""]"
fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,1,20317635_gab,"[""Asian"", ""Jewish"", ""Women""]"
the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,1,19206277_gab,"[""Jewish""]"
<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,1,4321340_gab,"[""Jewish""]"
i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,1,27652218_gab,"[""Jewish""]"
i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,1,14549463_gab,"[""African"", ""Jewish""]"
what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right,0,24227903_gab,"[""African"", ""Jewish""]"
nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too,1,15730084_gab,"[""African"", ""Jewish""]"
ok so i have been off twatter for some time now so i may just be rusty but has leftist kike trolling actually gotten worse in quality than it was a year or so ago,0,13438032_gab,"[""Jewish"", ""None""]"
<user> this ugly kike cunt keeps showing up on my timeline,1,23615794_gab,"[""Jewish"", ""Women""]"
when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,1,24921934_gab,"[""Homosexual"", ""Jewish""]"
saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson,1,20773435_gab,"[""Jewish""]"
is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,1,18979487_gab,"[""Jewish""]"
better to kill the kike first,1,20705631_gab,"[""Jewish""]"
i am offended because nigger faggot kike spic chink gook cracker,1,11073228_gab,"[""African"", ""Asian"", ""Hispanic"", ""Homosexual"", ""Jewish""]"
lets hope so gas the lot including the nigger,1,24096893_gab,"[""African"", ""Jewish""]"
all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden,1,7727242_gab,"[""African"", ""Hispanic"", ""Homosexual"", ""Jewish""]"
shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak,1,14357997_gab,"[""Jewish""]"
depeche kike personal hitler remastered video,1,22086860_gab,"[""African"", ""Jewish""]"
refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,1,19932727_gab,"[""Jewish"", ""Refugee""]"
you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron,1,20126138_gab,"[""Jewish""]"
this yid parasitic bitch should be hanged on the 1 st tall tree that grows in the center of the city to all to see and learn that yids are beasts of the field and not allowed to exist with humans,1,20055328_gab,"[""Jewish"", ""Other""]"
is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown <user>,1,13565733_gab,"[""Homosexual"", ""Jewish"", ""None"", ""Women""]"
lol at <user> thinks he a dothead kike lol,1,16188142_gab,"[""Indian"", ""Jewish""]"
showa time for this fucking kike,1,21037896_gab,"[""Jewish""]"
he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,1,21969771_gab,"[""Caucasian"", ""Jewish""]"
<user> called it hours ago and this kike rat would not reply to my calling him out either part time shit tier jidf making some extra shekels lol they are not sending their best yet,1,15824095_gab,"[""Jewish""]"
you are defending this dumb shit for creating the illusion that i should somehow care because i was raised mormon or that i am a kike because i was born into a mormon family oblige me with that retard level logic and just add to the dumpster fire,0,24017229_gab,"[""Disability"", ""Jewish""]"
percentage manufacturing crime sends them to the rightabout the devil on moneylenders gave reuben j a great strawcalling now he really what they call a dirty jew power those judges have crusty old topers,0,1178958645138264071_twitter,"[""Jewish"", ""None""]"
instant mute and creeping my tl total kike behavior,1,16123875_gab,"[""Jewish""]"
<user> <user> <user> he wants a white ethnostate and thinks that the holocaust didnt happen and that the jew globalists control everything,0,1178314665211944960_twitter,"[""Jewish"", ""None"", ""Other""]"
nazi is a kike jew term invented by an inbred schizoid kike rat they were called national socialists <number> gorillion were not gassed but should have been the world would be a much better place,1,23208708_gab,"[""Islam"", ""Jewish""]"
i know they are trying to commit white genocide but is not the f ing jews but the f ing muslimes that want to kill christians and jews and atheists and hindu and budhists or submit them to their psycho cult what part of kill do not you understand,1,18452832_gab,"[""Islam"", ""Jewish""]"
<number> and me is a kike company they started to see how the agenda is going,1,24416711_gab,"[""Jewish""]"
khan can suck the shit off the syphilitic dicks of his moslem pedo brothers uk cops can lick up the mess never rotherham rochdale rape jihad sharia creep islamo facism white genocide christiangenocide never islam 14 words,1,14436416_gab,"[""Islam"", ""Jewish"", ""Men""]"
as a full blown gas the kike nazi otoya yamaguchi is in my top <number> nationalist heroes,1,11003094_gab,"[""Jewish""]"
fuck her she nothing but a kike that will play which ever side that will get her paid,1,19112164_gab,"[""Jewish""]"
the iranian regime has a mosque in my home town thousands of miles from tehran its controlled by the revolutionary guard do not let the persian kike fool you,1,16210558_gab,"[""Jewish"", ""Other""]"
